LABELS
SEPARATOR TAB
DATA
BLAN-4-1-No|nifH|consensus50|strict_single_dominant	BLAN-4-1-No|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 85.9% id | 89.0% qcov
TALL-75-2-No|nifH|consensus50|strict_single_dominant	TALL-75-2-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 87.7% id | 91.5% qcov
JERC-141-No|nifH|consensus50|strict_single_dominant	JERC-141-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 86.5% id | 74.5% qcov
LENO-2-1-No|nifH|consensus50|strict_single_dominant	LENO-2-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 86.1% id | 78.1% qcov
TALL-44-1-No|nifH|consensus50|strict_single_dominant	TALL-44-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 87.9% id | 91.8% qcov
JERC-99-3-No|nifH|consensus50|strict_single_dominant	JERC-99-3-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 85.9% id | 91.8% qcov
JERC-96-2-No|nifH|consensus50|strict_single_dominant	JERC-96-2-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_caraganae | 84.8% id | 92.3% qcov
JERC-49-2-Ro|nifH|consensus50|strict_single_dominant	JERC-49-2-Ro|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 84.8% id | 92.2% qcov
JERC-126-4-No|nifH|consensus50|strict_single_dominant	JERC-126-4-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 88.0% id | 92.2% qcov
OSBS-58-1-No|nifH|consensus50|strict_single_dominant	OSBS-58-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 87.7% id | 92.2% qcov
JERC-180-5-No|nifH|consensus50|strict_single_dominant	JERC-180-5-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 86.6% id | 70.7% qcov
CLBJ-41-1-No|nifH|consensus50|strict_single_dominant	CLBJ-41-1-No|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 87.8% id | 78.1% qcov
JERC-106-1-No|nifH|consensus50|strict_single_dominant	JERC-106-1-No|nifH|consensus50|strict_single_dominant | closest: Ensifer_canadensis | 86.8% id | 78.1% qcov
ORNL-7-2-No|nifH|consensus50|strict_single_dominant	ORNL-7-2-No|nifH|consensus50|strict_single_dominant | closest: Ensifer_canadensis | 87.2% id | 78.4% qcov
JERC-148-Ro|nifH|consensus50|strict_single_dominant	JERC-148-Ro|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 87.2% id | 89.7% qcov
JERC-150-No|nifH|consensus50|strict_single_dominant	JERC-150-No|nifH|consensus50|strict_single_dominant | closest: Ensifer_canadensis | 85.5% id | 78.5% qcov
OSBS-109-4-No|nifH|consensus50|strict_single_dominant	OSBS-109-4-No|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 87.6% id | 78.2% qcov
TALL-18-1-No|nifH|consensus50|strict_single_dominant	TALL-18-1-No|nifH|consensus50|strict_single_dominant | closest: Ensifer_canadensis | 88.2% id | 80.3% qcov
JERC-143-No|nifH|consensus50|strict_single_dominant	JERC-143-No|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 87.1% id | 78.2% qcov
JERC-135-3-No|nifH|consensus50|strict_single_dominant	JERC-135-3-No|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 84.8% id | 78.5% qcov
TALL-20-1-No|nifH|consensus50|strict_single_dominant	TALL-20-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_caraganae | 83.1% id | 92.6% qcov
JERC-CLMA-83-1-No|nifH|consensus50|strict_single_dominant	JERC-CLMA-83-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 84.4% id | 72.3% qcov
JERC-50-5-No|nifH|consensus50|strict_single_dominant	JERC-50-5-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 84.8% id | 93.6% qcov
JERC-172-2-Ro|nifH|consensus50|strict_single_dominant	JERC-172-2-Ro|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 84.5% id | 91.8% qcov
OSBS-CEVI-50-3-No|nifH|consensus50|strict_single_dominant	OSBS-CEVI-50-3-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 91.0% id | 41.2% qcov
DEJU-16-1-Ro|nifH|consensus50|strict_single_dominant	DEJU-16-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 91.1% id | 41.8% qcov
ORNL-20-1-No|nifH|consensus50|strict_single_dominant	ORNL-20-1-No|nifH|consensus50|strict_single_dominant | closest: Burkholderia_multivorans | 86.0% id | 43.8% qcov
DSNY-53-1-No|nifH|consensus50|strict_single_dominant	DSNY-53-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 93.0% id | 43.6% qcov
GUAN-4-No|nifH|consensus50|strict_single_dominant	GUAN-4-No|nifH|consensus50|strict_single_dominant | closest: Microvirga_sp._KLBC_81 | 86.0% id | 92.2% qcov
GUAN-8-No|nifH|consensus50|strict_single_dominant	GUAN-8-No|nifH|consensus50|strict_single_dominant | closest: Microvirga_sp._KLBC_81 | 86.5% id | 92.5% qcov
KONZ-9-2-No|nifH|consensus50|strict_single_dominant	KONZ-9-2-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_azibense | 88.1% id | 92.2% qcov
LAJA-12-1-No|nifH|consensus50|strict_single_dominant	LAJA-12-1-No|nifH|consensus50|strict_single_dominant | closest: Microvirga_sp._RSM25 | 84.6% id | 74.0% qcov
OSBS-59-1-No|nifH|consensus50|strict_single_dominant	OSBS-59-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 90.4% id | 43.6% qcov
TALL-37-1-No|nifH|consensus50|strict_single_dominant	TALL-37-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 94.0% id | 37.5% qcov
UKFS-6-3-Rh|nifH|consensus50|strict_single_dominant	UKFS-6-3-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 94.0% id | 43.6% qcov
ORNL-24-Rh|nifH|consensus50|strict_single_dominant	ORNL-24-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 89.1% id | 52.0% qcov
BONA-12-1-Ro|nifH|consensus50|strict_single_dominant	BONA-12-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 85.1% id | 53.1% qcov
TALL-90-1-Ro|nifH|consensus50|strict_single_dominant	TALL-90-1-Ro|nifH|consensus50|strict_single_dominant | closest: Burkholderia_sp._Br3469 | 92.9% id | 53.8% qcov
TALL-58-1-Rh|nifH|consensus50|strict_single_dominant	TALL-58-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 94.9% id | 41.8% qcov
DEJU-19-1-Ro|nifH|consensus50|strict_single_dominant	DEJU-19-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 91.4% id | 41.8% qcov
TALL-89-1-Ro|nifH|consensus50|strict_single_dominant	TALL-89-1-Ro|nifH|consensus50|strict_single_dominant | closest: Rhizobium_azibense | 87.3% id | 78.5% qcov
GUAN-10-Rh|nifH|consensus50|strict_single_dominant	GUAN-10-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 90.5% id | 70.4% qcov
GUAN-3-No|nifH|consensus50|strict_single_dominant	GUAN-3-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 85.5% id | 93.7% qcov
JERC-176-5-Rh|nifH|consensus50|strict_single_dominant	JERC-176-5-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.4% id | 41.8% qcov
CLBJ-46-1-Rh|nifH|consensus50|strict_single_dominant	CLBJ-46-1-Rh|nifH|consensus50|strict_single_dominant | closest: Burkholderia_vietnamiensis | 88.1% id | 65.8% qcov
GUAN-3-Ro|nifH|consensus50|strict_single_dominant	GUAN-3-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 86.1% id | 71.6% qcov
LENO-8-3-Rh|nifH|consensus50|strict_single_dominant	LENO-8-3-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 91.0% id | 59.7% qcov
TALL-75-2-Rh|nifH|consensus50|strict_single_dominant	TALL-75-2-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 93.0% id | 41.8% qcov
DEJU-4-1-Ro|nifH|consensus50|strict_single_dominant	DEJU-4-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 92.6% id | 41.1% qcov
CLBJ-36-1-No|nifH|consensus50|strict_single_dominant	CLBJ-36-1-No|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 89.1% id | 69.6% qcov
DSNY-10-3-Ro|nifH|consensus50|strict_single_dominant	DSNY-10-3-Ro|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 90.5% id | 64.5% qcov
DSNY-22-3-Ro|nifH|consensus50|strict_single_dominant	DSNY-22-3-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.6% id | 71.6% qcov
DSNY-98-4-Rh|nifH|consensus50|strict_single_dominant	DSNY-98-4-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 86.5% id | 70.4% qcov
LAJA-4-1-Rh|nifH|consensus50|strict_single_dominant	LAJA-4-1-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 84.1% id | 92.4% qcov
TALL-63-1-Rh|nifH|consensus50|strict_single_dominant	TALL-63-1-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 89.3% id | 73.4% qcov
OSBS-68-1-Ro|nifH|consensus50|strict_single_dominant	OSBS-68-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 94.3% id | 43.3% qcov
OSBS-81-1-Ro|nifH|consensus50|strict_single_dominant	OSBS-81-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 91.5% id | 52.1% qcov
JERC-126-4-Rh|nifH|consensus50|strict_single_dominant	JERC-126-4-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.7% id | 71.8% qcov
DEJU-9-1-No|nifH|consensus50|strict_single_dominant	DEJU-9-1-No|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 90.4% id | 69.9% qcov
DSNY-90-Rh|nifH|consensus50|strict_single_dominant	DSNY-90-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 89.3% id | 69.8% qcov
JERC-188-1-Ro|nifH|consensus50|strict_single_dominant	JERC-188-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.5% id | 43.2% qcov
JERC-203-1-Rh|nifH|consensus50|strict_single_dominant	JERC-203-1-Rh|nifH|consensus50|strict_single_dominant | closest: Burkholderia_vietnamiensis | 86.1% id | 94.7% qcov
JERC-113-3-Rh|nifH|consensus50|strict_single_dominant	JERC-113-3-Rh|nifH|consensus50|strict_single_dominant | closest: Burkholderia_vietnamiensis | 86.8% id | 66.9% qcov
WOOD-1-1-Rh|nifH|consensus50|strict_single_dominant	WOOD-1-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.4% id | 93.9% qcov
DEJU-17-1-Rh|nifH|consensus50|strict_single_dominant	DEJU-17-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 96.0% id | 39.8% qcov
OAES-36-3-Ro|nifH|consensus50|strict_single_dominant	OAES-36-3-Ro|nifH|consensus50|strict_single_dominant | closest: Burkholderia_vietnamiensis | 88.2% id | 74.1% qcov
ORNL-10-1-Rh|nifH|consensus50|strict_single_dominant	ORNL-10-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 92.0% id | 47.8% qcov
OSBS-72-1-Rh|nifH|consensus50|strict_single_dominant	OSBS-72-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 94.6% id | 43.6% qcov
JERC-155-No|nifH|consensus50|strict_single_dominant	JERC-155-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 88.4% id | 91.9% qcov
JERC-99-1-Rh|nifH|consensus50|strict_single_dominant	JERC-99-1-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 86.4% id | 91.6% qcov
OSBS-58-1-Rh|nifH|consensus50|strict_single_dominant	OSBS-58-1-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 85.6% id | 91.6% qcov
JERC-188-1-Rh|nifH|consensus50|strict_single_dominant	JERC-188-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 91.3% id | 74.2% qcov
TALL-34-1-Ro|nifH|consensus50|strict_single_dominant	TALL-34-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 92.4% id | 49.0% qcov
HEAL-5-2-Ro|nifH|consensus50|strict_single_dominant	HEAL-5-2-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 90.1% id | 52.4% qcov
JERC-98-3-Rh|nifH|consensus50|strict_single_dominant	JERC-98-3-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.6% id | 43.6% qcov
SCBI-8-2-Rh|nifH|consensus50|strict_single_dominant	SCBI-8-2-Rh|nifH|consensus50|strict_single_dominant | closest: Burkholderia_vietnamiensis | 88.5% id | 74.6% qcov
JERC-99-2-Rh|nifH|consensus50|strict_single_dominant	JERC-99-2-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.8% id | 43.1% qcov
JERC-192-1-Rh|nifH|consensus50|strict_single_dominant	JERC-192-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 90.3% id | 52.3% qcov
OSBS-52-5-Rh|nifH|consensus50|strict_single_dominant	OSBS-52-5-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 94.9% id | 35.3% qcov
OSBS-65-1-Rh|nifH|consensus50|strict_single_dominant	OSBS-65-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 86.9% id | 74.4% qcov
TALL-81-1-Ro|nifH|consensus50|strict_single_dominant	TALL-81-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 96.1% id | 37.6% qcov
DSNY-77-3-Rh|nifH|consensus50|strict_single_dominant	DSNY-77-3-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 94.5% id | 43.3% qcov
DSNY-78-1-Rh|nifH|consensus50|strict_single_dominant	DSNY-78-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.6% id | 41.4% qcov
JERC-171-Rh|nifH|consensus50|strict_single_dominant	JERC-171-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 84.5% id | 71.6% qcov
DEJU-10-1-Rh|nifH|consensus50|strict_single_dominant	DEJU-10-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.5% id | 42.6% qcov
DSNY-30-1-Rh|nifH|consensus50|strict_single_dominant	DSNY-30-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.5% id | 71.8% qcov
OSBS-106-1-No|nifH|consensus50|strict_single_dominant	OSBS-106-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.9% id | 43.6% qcov
OSBS-89-1-Ro|nifH|consensus50|strict_single_dominant	OSBS-89-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.3% id | 71.8% qcov
TALL-35-1-Rh|nifH|consensus50|strict_single_dominant	TALL-35-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.7% id | 41.8% qcov
DSNY-71-1-Rh|nifH|consensus50|strict_single_dominant	DSNY-71-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 91.2% id | 52.4% qcov
DSNY-44-1-Rh|nifH|consensus50|strict_single_dominant	DSNY-44-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.9% id | 44.4% qcov
DSNY-50-1-Ro|nifH|consensus50|strict_single_dominant	DSNY-50-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 87.3% id | 65.0% qcov
DSNY-56-1-Rh|nifH|consensus50|strict_single_dominant	DSNY-56-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.6% id | 43.5% qcov
JERC-CRRO-64-1-Ro|nifH|consensus50|strict_single_dominant	JERC-CRRO-64-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 87.8% id | 74.0% qcov
DSNY-83-2-Rh|nifH|consensus50|strict_single_dominant	DSNY-83-2-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 84.8% id | 92.1% qcov
JERC-175-1-Ro|nifH|consensus50|strict_single_dominant	JERC-175-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 91.3% id | 40.2% qcov
KONZ-11-1-Rh|nifH|consensus50|strict_single_dominant	KONZ-11-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 89.3% id | 93.8% qcov
JERC-178-2-No|nifH|consensus50|strict_single_dominant	JERC-178-2-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 82.2% id | 91.6% qcov
OSBS-109-4-Ro|nifH|consensus50|strict_single_dominant	OSBS-109-4-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 96.2% id | 41.7% qcov
CLBJ-36-1-Rh|nifH|consensus50|strict_single_dominant	CLBJ-36-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 96.1% id | 43.3% qcov
JERC-185-3-Ro|nifH|consensus50|strict_single_dominant	JERC-185-3-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 96.8% id | 41.8% qcov
ORNL-21-No|nifH|consensus50|strict_single_dominant	ORNL-21-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.8% id | 43.5% qcov
JERC-195-2-Rh|nifH|consensus50|strict_single_dominant	JERC-195-2-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.6% id | 43.5% qcov
DEJU-58-No|nifH|consensus50|strict_single_dominant	DEJU-58-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 96.3% id | 43.2% qcov
DEJU-39-Rh|nifH|consensus50|strict_single_dominant	DEJU-39-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 96.4% id | 37.6% qcov
DEJU-48-Rh|nifH|consensus50|strict_single_dominant	DEJU-48-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 96.6% id | 43.5% qcov
DEJU-52-1-Ro|nifH|consensus50|strict_single_dominant	DEJU-52-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 97.0% id | 37.6% qcov
JERC-172-2-Rh|nifH|consensus50|strict_single_dominant	JERC-172-2-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.3% id | 93.9% qcov
TALL-87-3-Rh|nifH|consensus50|strict_single_dominant	TALL-87-3-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 96.1% id | 43.5% qcov
DELA-5-1-Rh|nifH|consensus50|strict_single_dominant	DELA-5-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 90.5% id | 52.4% qcov
JERC-163-Ro|nifH|consensus50|strict_single_dominant	JERC-163-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 92.2% id | 65.2% qcov
TALL-33-1-Ro|nifH|consensus50|strict_single_dominant	TALL-33-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 94.3% id | 35.5% qcov
JERC-177-Ro|nifH|consensus50|strict_single_dominant	JERC-177-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.6% id | 94.0% qcov
JERC-185-3-Rh|nifH|consensus50|strict_single_dominant	JERC-185-3-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 90.3% id | 65.2% qcov
OAES-35-1-Rh|nifH|consensus50|strict_single_dominant	OAES-35-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 86.9% id | 93.9% qcov
JERC-184-3-Rh|nifH|consensus50|strict_single_dominant	JERC-184-3-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.6% id | 43.6% qcov
DSNY-61-4-Rh|nifH|consensus50|strict_single_dominant	DSNY-61-4-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 88.6% id | 91.6% qcov
DSNY-83-5-Ro|nifH|consensus50|strict_single_dominant	DSNY-83-5-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.7% id | 74.2% qcov
TALL-84-1-Rh|nifH|consensus50|strict_single_dominant	TALL-84-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 94.8% id | 43.3% qcov
UKFS-3-2-No|nifH|consensus50|strict_single_dominant	UKFS-3-2-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.5% id | 74.0% qcov
JERC-CLMA-73-2-Ro|nifH|consensus50|strict_single_dominant	JERC-CLMA-73-2-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.1% id | 93.7% qcov
JERC-CLMA-73-2-Rh|nifH|consensus50|strict_single_dominant	JERC-CLMA-73-2-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 89.3% id | 72.0% qcov
TALL-7-2-Rh|nifH|consensus50|strict_single_dominant	TALL-7-2-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 96.0% id | 39.7% qcov
JERC-111-3-Rh|nifH|consensus50|strict_single_dominant	JERC-111-3-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 90.6% id | 65.2% qcov
TALL-46-2-Rh|nifH|consensus50|strict_single_dominant	TALL-46-2-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 94.8% id | 43.2% qcov
DELA-4-1-Rh|nifH|consensus50|strict_single_dominant	DELA-4-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.9% id | 41.8% qcov
TALL-89-1-Rh|nifH|consensus50|strict_single_dominant	TALL-89-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 96.3% id | 39.8% qcov
DEJU-36-Ro|nifH|consensus50|strict_single_dominant	DEJU-36-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 96.2% id | 41.8% qcov
CLBJ-37-1-Rh|nifH|consensus50|strict_single_dominant	CLBJ-37-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.3% id | 43.2% qcov
DSNY-40-2-Rh|nifH|consensus50|strict_single_dominant	DSNY-40-2-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 90.5% id | 52.3% qcov
JERC-187-1-Rh|nifH|consensus50|strict_single_dominant	JERC-187-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.1% id | 41.8% qcov
HEAL-7-1-Rh|nifH|consensus50|strict_single_dominant	HEAL-7-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 91.2% id | 74.2% qcov
JERC-132-3-Rh|nifH|consensus50|strict_single_dominant	JERC-132-3-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.4% id | 93.6% qcov
DEJU-26-Rh|nifH|consensus50|strict_single_dominant	DEJU-26-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_sp._RSM25 | 86.9% id | 74.3% qcov
DSNY-92-1-Ro|nifH|consensus50|strict_single_dominant	DSNY-92-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 89.2% id | 74.2% qcov
WOOD-3-2-Rh|nifH|consensus50|strict_single_dominant	WOOD-3-2-Rh|nifH|consensus50|strict_single_dominant | closest: Rhizobium_azibense | 86.0% id | 91.7% qcov
JERC-89-1-Rh|nifH|consensus50|strict_single_dominant	JERC-89-1-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 90.0% id | 51.3% qcov
DEJU-58-Rh|nifH|consensus50|strict_single_dominant	DEJU-58-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 89.5% id | 74.2% qcov
OSBS-67-1-Rh|nifH|consensus50|strict_single_dominant	OSBS-67-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 93.1% id | 52.7% qcov
DEJU-34-Ro|nifH|consensus50|strict_single_dominant	DEJU-34-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.5% id | 37.5% qcov
TALL-83-3-Rh|nifH|consensus50|strict_single_dominant	TALL-83-3-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 94.4% id | 38.5% qcov
WOOD-6-1-Rh|nifH|consensus50|strict_single_dominant	WOOD-6-1-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 86.3% id | 91.6% qcov
WOOD-10-1-Ro|nifH|consensus50|strict_single_dominant	WOOD-10-1-Ro|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 87.6% id | 78.4% qcov
