DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Site
COLOR	#000000
STRIP_WIDTH	35
MARGIN	5
SHOW_INTERNAL	0
DATA
BLAN-4-1-No|nifH|consensus50|strict_single_dominant	#E16A86	BLAN
OSBS-66-1-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
CLBJ-36-1-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
DEJU-12-1-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DSNY-10-3-Ro|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
GUAN-3-Ro|nifH|consensus50|strict_single_dominant	#949700	GUAN
ORNL-24-Rh|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
OSBS-12-1-No|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
DEJU-58-Ro|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DELA-5-1-Rh|nifH|consensus50|strict_single_dominant	#B98900	DELA
JERC-177-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-84-1-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
DELA-12-2-Rh|nifH|consensus50|strict_single_dominant	#B98900	DELA
OAES-32-1-Rh|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OSBS-7-4-Ro|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
OSBS-8-5-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
JERC-99-1-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-155-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-98-1-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-180-5-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-96-2-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
ORNL-19-Ro|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
TALL-22-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
OSBS-21-2-No|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
JERC-161-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
LENO-1-1-Rh|nifH|consensus50|strict_single_dominant	#00AD82	LENO
JERC-126-4-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
DSNY-22-3-Ro|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
OSBS-68-1-Ro|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
DSNY-40-2-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
CLBJ-38-1-Rh|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
OAES-35-1-Rh|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
TALL-49-1-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
DEJU-34-Ro|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DSNY-28-1-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
JERC-145-1-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-33-1-Ro|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
DSNY-28-1-Ro|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
OSBS-71-1-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
DSNY-57-1-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
DSNY-30-1-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
DSNY-GARE-35-1-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
KONZ-6-1-Rh|nifH|consensus50|strict_single_dominant	#00AA5E	KONZ
OSBS-49-1-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
TALL-7-2-Ro|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
JERC-197-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TOOL-8-Rh|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-5-No|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
OSBS-51-1-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
JERC-163-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-111-3-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
UKFS-3-2-No|nifH|consensus50|strict_single_dominant	#D467CD	UKFS
JERC-172-2-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-87-3-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
JERC-185-3-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-7-2-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
DSNY-83-5-Ro|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
JERC-CLMA-73-2-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-CLMA-73-2-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
DEJU-36-Ro|nifH|consensus50|strict_single_dominant	#C38401	DEJU
TALL-89-1-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
OSBS-82-1-Ro|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
DELA-4-1-Rh|nifH|consensus50|strict_single_dominant	#B98900	DELA
DSNY-83-2-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
KONZ-11-1-Rh|nifH|consensus50|strict_single_dominant	#00AA5E	KONZ
DSNY-44-1-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
DSNY-50-1-Ro|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
JERC-184-3-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-CRRO-64-1-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
CLBJ-37-1-Rh|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
JERC-187-1-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
DSNY-30-1-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
OSBS-89-1-Ro|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
UKFS-6-3-Rh|nifH|consensus50|strict_single_dominant	#D467CD	UKFS
DEJU-9-1-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DSNY-90-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
LAJA-4-1-Rh|nifH|consensus50|strict_single_dominant	#00AC71	LAJA
HEAL-7-1-Rh|nifH|consensus50|strict_single_dominant	#719F00	HEAL
JERC-132-3-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OSBS-106-1-No|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
WOOD-1-1-Rh|nifH|consensus50|strict_single_dominant	#E264A6	WOOD
DEJU-10-1-Rh|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-17-1-Rh|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DSNY-10-3-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
DSNY-CLFR-60-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
TALL-10-4-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
DSNY-78-1-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
TALL-15-2-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
OAES-36-3-Ro|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
DSNY-77-3-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
JERC-171-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
ORNL-10-1-Rh|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
JERC-188-1-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-34-1-Ro|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
DSNY-98-4-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
HEAL-5-2-Ro|nifH|consensus50|strict_single_dominant	#719F00	HEAL
JERC-98-3-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
SCBI-8-2-Rh|nifH|consensus50|strict_single_dominant	#2798E0	SCBI
OSBS-81-1-Ro|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
JERC-188-1-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-99-2-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OSBS-52-5-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
OSBS-65-1-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
JERC-113-3-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-81-1-Ro|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
JERC-192-1-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OSBS-58-1-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
DSNY-71-1-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
TALL-35-1-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
OSBS-72-1-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
JERC-178-2-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OSBS-109-4-Ro|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
DSNY-53-1-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
GUAN-4-No|nifH|consensus50|strict_single_dominant	#949700	GUAN
GUAN-8-No|nifH|consensus50|strict_single_dominant	#949700	GUAN
KONZ-9-2-No|nifH|consensus50|strict_single_dominant	#00AA5E	KONZ
GUAN-3-No|nifH|consensus50|strict_single_dominant	#949700	GUAN
LAJA-12-1-No|nifH|consensus50|strict_single_dominant	#00AC71	LAJA
OSBS-59-1-No|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
TALL-37-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
ORNL-20-1-No|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
GUAN-10-Rh|nifH|consensus50|strict_single_dominant	#949700	GUAN
ORNL-21-No|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
JERC-185-3-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-195-2-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
CLBJ-36-1-Rh|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
DEJU-8-1-Rh|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DSNY-92-1-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
N34-2-D-No|nifH|consensus50|strict_single_dominant	#E063B5	unknown
DELA-32-1-Rh|nifH|consensus50|strict_single_dominant	#B98900	DELA
LENO-8-3-Ro|nifH|consensus50|strict_single_dominant	#00AD82	LENO
DELA-8-2-Rh|nifH|consensus50|strict_single_dominant	#B98900	DELA
BONA-13-1-Rh|nifH|consensus50|strict_single_dominant	#DE6F75	BONA
YELL-5-3-Ro|nifH|consensus50|strict_single_dominant	#E36797	YELL
DELA-2-2-No|nifH|consensus50|strict_single_dominant	#B98900	DELA
YELL-1-2-Rh|nifH|consensus50|strict_single_dominant	#E36797	YELL
JERC-169-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-26-3-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
DSNY-61-4-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
HARV-1-3-Ro|nifH|consensus50|strict_single_dominant	#849B00	HARV
TALL-13-3-Ro|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-12-2-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
CLBJ-7-1-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
OSBS-20-1-Ro|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
JERC-88-1-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OAES-37-2-Rh|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
TOOL-5-Rh|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
DSNY-53-1-Ro|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
N38-2-D-Rh|nifH|consensus50|strict_single_dominant	#E063B5	unknown
JERC-160-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
ORNL-12-1-Ro|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
OSBS-28-1-No|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
OSBS-69-1-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
KONZ-9-2-Rh|nifH|consensus50|strict_single_dominant	#00AA5E	KONZ
LAJA-16-2-Rh|nifH|consensus50|strict_single_dominant	#00AC71	LAJA
TALL-9-2-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-9-2-Ro|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
UKFS-52-1-Rh|nifH|consensus50|strict_single_dominant	#E063B5	unknown
CLBJ-17-1-Rh|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
JERC-CRJU-86-1-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OSBS-36-4-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
OSBS-DETR-64-3-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
OSBS-18-5-Ro|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
JERC-16-2-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-99-1-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
DEJU-16-1-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
DEJU-4-2-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
TALL-93-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
ORNL-2-1-No|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
SERC-1-1-No|nifH|consensus50|strict_single_dominant	#5D91E5	SERC
SERC-2-1-No|nifH|consensus50|strict_single_dominant	#5D91E5	SERC
ORNL-3-2-No|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
ORNL-5-1-No|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
ORNL-5-2-Ro|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
SERC-2-2-Ro|nifH|consensus50|strict_single_dominant	#5D91E5	SERC
TALL-83-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-83-3-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
DSNY-6-2-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
TALL-84-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-90-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
MLBS-1-1-No|nifH|consensus50|strict_single_dominant	#00AD92	MLBS
TOOL-5-Ro|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
JERC-10-3-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-11-1-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-53-2-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-89-1-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
KONZ-16-1-No|nifH|consensus50|strict_single_dominant	#00AA5E	KONZ
KONZ-15-1-No|nifH|consensus50|strict_single_dominant	#00AA5E	KONZ
JERC-8-2-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-8-1-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TOOL-12-Rh|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
DSNY-11-3-Ro|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
OAES-33-1-Ro|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
CLBJ-9-1-Ro|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
CLBJ-11-1-Ro|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
JERC-16-2-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-23-1-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
SRER-15-1-Ro|nifH|consensus50|strict_single_dominant	#9781E6	SRER
SRER-10-1-Rh|nifH|consensus50|strict_single_dominant	#9781E6	SRER
SRER-2-1-No|nifH|consensus50|strict_single_dominant	#9781E6	SRER
SRER-1-1-No|nifH|consensus50|strict_single_dominant	#9781E6	SRER
SRER-8-1-No|nifH|consensus50|strict_single_dominant	#9781E6	SRER
SRER-15-1-No|nifH|consensus50|strict_single_dominant	#9781E6	SRER
SRER-10-1-No|nifH|consensus50|strict_single_dominant	#9781E6	SRER
SRER-17-1-No|nifH|consensus50|strict_single_dominant	#9781E6	SRER
DSNY-3-1-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
SRER-3-1-Ro|nifH|consensus50|strict_single_dominant	#9781E6	SRER
SRER-6-1-Ro|nifH|consensus50|strict_single_dominant	#9781E6	SRER
OAES-20-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-30-2-Ro|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
SRER-5-1-Rh|nifH|consensus50|strict_single_dominant	#9781E6	SRER
SRER-6-1-No|nifH|consensus50|strict_single_dominant	#9781E6	SRER
SRER-3-1-No|nifH|consensus50|strict_single_dominant	#9781E6	SRER
SRER-7-1-No|nifH|consensus50|strict_single_dominant	#9781E6	SRER
SRER-8-1-Ro|nifH|consensus50|strict_single_dominant	#9781E6	SRER
SRER-7-1-Rh|nifH|consensus50|strict_single_dominant	#9781E6	SRER
SRER-7-1-Ro|nifH|consensus50|strict_single_dominant	#9781E6	SRER
JERC-14-5-Ro|nifH|consensus50|strict_single_dominant	#5AA200	JERC
SRER-13-1-No|nifH|consensus50|strict_single_dominant	#9781E6	SRER
SRER-13-1-Ro|nifH|consensus50|strict_single_dominant	#9781E6	SRER
SRER-13-1-Rh|nifH|consensus50|strict_single_dominant	#9781E6	SRER
OAES-21-3-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
SRER-14-1-No|nifH|consensus50|strict_single_dominant	#9781E6	SRER
SRER-18-1-Rh|nifH|consensus50|strict_single_dominant	#9781E6	SRER
SRER-18-1-Ro|nifH|consensus50|strict_single_dominant	#9781E6	SRER
SRER-9-1-Ro|nifH|consensus50|strict_single_dominant	#9781E6	SRER
OAES-3-1-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
SRER-6-1-Rh|nifH|consensus50|strict_single_dominant	#9781E6	SRER
CLBJ-14-1-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
DELA-9-1-No|nifH|consensus50|strict_single_dominant	#B98900	DELA
TALL-24-2-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-52-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-15-2-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
DELA-26-3-Ro|nifH|consensus50|strict_single_dominant	#B98900	DELA
DELA-27-3-No|nifH|consensus50|strict_single_dominant	#B98900	DELA
CLBJ-3-1-Rh|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
JERC-1-2-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OSBS-38-1-No|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
JERC-131-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
DELA-32-1-No|nifH|consensus50|strict_single_dominant	#B98900	DELA
LENO-9-2-Rh|nifH|consensus50|strict_single_dominant	#00AD82	LENO
LENO-5-2-No|nifH|consensus50|strict_single_dominant	#00AD82	LENO
LENO-9-2-No|nifH|consensus50|strict_single_dominant	#00AD82	LENO
DSNY-2-1-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
LENO-7-2-No|nifH|consensus50|strict_single_dominant	#00AD82	LENO
LENO-10-2-Ro|nifH|consensus50|strict_single_dominant	#00AD82	LENO
OAES-35-3-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
JERC-34-4-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-AMFR-56-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-AMFU-71-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OAES-30-2-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-8-2-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OSBS-1-2-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
CLBJ-17-1-Ro|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
OAES-9-1-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-9-1-Rh|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-34-1-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OSBS-5-5-Ro|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
OAES-12-2-Ro|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-12-2-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-28-1-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-29-1-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
CLBJ-5-2-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
OAES-11-1-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
JERC-122-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OAES-11-1-Rh|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-23-1-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES_24-3-Rh|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-32-1-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-33-1-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
JORN-1-No|nifH|consensus50|strict_single_dominant	#39A52F	JORN
SRER-4-1-No|nifH|consensus50|strict_single_dominant	#9781E6	SRER
OAES-16-1-Ro|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES_24-3-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-17-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-17-Ro|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
SRER-16-1-No|nifH|consensus50|strict_single_dominant	#9781E6	SRER
CPER-1-No|nifH|consensus50|strict_single_dominant	#D3794C	CPER
OAES-10-1-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-10-1-Ro|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-23-1-Ro|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-26-1-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-26-1-Ro|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-27-2-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-15-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-15-Ro|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-33-1-Rh|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
DEJU-54-Ro|nifH|consensus50|strict_single_dominant	#C38401	DEJU
TOOL-10-No|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-11-No|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-9-No|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-25-No|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-13-Ro|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-14-Ro|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-29-Ro|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-24-Rh|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-8-No|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-15-No|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-31-Rh|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-17-Rh|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-12-No|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-16-No|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-12-Ro|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-18-Ro|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-19-Rh|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-14-No|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-16-Rh|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-16-Ro|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-23-No|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-23-Ro|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-27-2-No|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-26-No|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-24-No|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-30-No|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
RMNP-1-No|nifH|consensus50|strict_single_dominant	#009DDA	RMNP
RMNP-2-No|nifH|consensus50|strict_single_dominant	#009DDA	RMNP
RMNP-2-Rh|nifH|consensus50|strict_single_dominant	#009DDA	RMNP
JERC-94-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
SCBI-5-1-No|nifH|consensus50|strict_single_dominant	#2798E0	SCBI
TALL-13-3-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-64-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
CLBJ-26-1-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
CLBJ-27-1-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
GUAN-5-No|nifH|consensus50|strict_single_dominant	#949700	GUAN
OAES-6-1-Ro|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
CLBJ-4-1-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
CLBJ-4-1-Ro|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
OAES-5-Rh|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
LAJA-6-1-Rh|nifH|consensus50|strict_single_dominant	#00AC71	LAJA
LAJA-22-2-No|nifH|consensus50|strict_single_dominant	#00AC71	LAJA
CLBJ-2-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
KONZ-12-1-No|nifH|consensus50|strict_single_dominant	#00AA5E	KONZ
KONZ-6-1-No|nifH|consensus50|strict_single_dominant	#00AA5E	KONZ
WOOD-5-1-Ro|nifH|consensus50|strict_single_dominant	#E264A6	WOOD
DCFS-2-2-Rh|nifH|consensus50|strict_single_dominant	#CC7F32	DCFS
DELA-1-3-No|nifH|consensus50|strict_single_dominant	#B98900	DELA
DELA-1-3-Rh|nifH|consensus50|strict_single_dominant	#B98900	DELA
N35-4-D-No|nifH|consensus50|strict_single_dominant	#E063B5	unknown
DSNY-SEHE-60-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
N35-4-D-Ro|nifH|consensus50|strict_single_dominant	#E063B5	unknown
JERC-2-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
JERC-4-1-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
ORNL-6-1-No|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
